7652
167	67	489	603	
195	327	65	787	
157	291	481	75	
149	291	495	83	
183	315	71	739	
149	255	439	91	
145	251	419	99	
91	263	167	395	
197	327	65	771	
85	171	405	211	
113	195	333	171	
119	179	315	187	
83	183	309	243	
83	155	403	235	
175	315	73	675	
145	287	475	91	
75	171	355	267	
85	155	405	227	
57	211	347	331	
129	243	295	139	
145	211	285	155	
61	179	319	395	
63	155	401	411	
85	211	207	347	
107	191	411	155	
163	71	435	595	
119	179	337	179	
119	187	377	155	
83	207	265	251	
117	183	311	187	
73	183	325	267	
87	291	201	315	
99	231	159	403	
113	247	469	115	
79	171	247	387	
83	175	315	227	
87	167	311	235	
79	147	373	283	
123	175	289	187	
85	187	321	211	
171	303	75	675	
83	203	235	291	
93	155	371	219	
75	299	281	227	
109	191	371	163	
87	163	301	259	
111	139	259	251	
79	143	365	299	
99	183	305	203	
135	279	391	107	
129	247	289	139	
71	171	321	291	
77	207	207	427	
61	275	389	203	
81	275	149	499	
77	175	231	451	
77	267	301	203	
77	255	329	187	
71	251	303	251	
167	247	91	635	
101	223	155	403	
125	251	261	155	
71	147	381	315	
133	87	349	579	
113	203	179	291	
109	175	197	299	
101	159	295	235	
113	203	403	131	
109	147	267	259	
85	143	385	275	
149	159	139	355	
75	247	345	187	
147	299	221	155	
127	263	439	99	
127	163	145	371	
109	211	237	211	
135	239	431	107	
71	219	213	443	
81	187	271	283	
71	239	339	211	
97	191	261	227	
79	195	195	499	
145	207	345	139	
75	175	247	411	
157	283	479	83	
77	199	269	299	
97	307	197	275	
127	183	197	243	
81	203	271	251	
61	175	345	363	
75	211	185	523	
77	115	349	459	
133	231	323	123	
77	167	359	267	
115	135	273	251	
89	147	259	323	
109	135	261	275	
69	247	339	211	
63	179	307	355	
71	247	343	195	
97	195	305	195	
159	287	453	83	
187	303	71	699	
117	87	403	515	
75	143	391	315	
149	295	89	667	
89	267	321	171	
71	283	289	235	
71	299	287	227	
73	283	285	243	
99	199	207	299	
135	171	251	203	
169	263	85	659	
171	263	85	643	
139	259	431	99	
65	175	343	331	
75	263	155	547	
147	271	229	163	
75	151	361	283	
85	211	225	315	
125	219	311	147	
157	295	465	83	
65	123	367	523	
85	223	339	179	
169	271	85	635	
69	239	351	203	
65	251	259	339	
73	187	275	299	
77	147	389	291	
83	183	205	419	
103	155	247	291	
83	135	259	475	
163	71	481	531	
167	75	463	523	
71	163	321	315	
67	143	315	547	
75	163	261	379	
71	175	325	283	
75	179	251	395	
81	175	247	339	
119	259	449	107	
193	315	67	771	
85	175	289	243	
137	175	119	443	
79	143	255	531	
77	263	197	395	
145	83	361	491	
77	275	189	411	
93	159	375	211	
129	263	253	147	
81	151	403	259	
79	199	307	235	
111	223	143	387	
99	211	161	419	
99	111	313	395	
95	195	319	187	
87	199	301	203	
127	207	303	147	
127	203	309	147	
107	135	195	539	
97	271	185	323	
107	127	263	299	
83	135	249	499	
123	167	205	267	
165	215	103	611	
85	155	373	251	
83	255	173	411	
83	255	183	395	
101	223	259	195	
105	135	259	291	
95	135	267	323	
105	115	267	371	
175	303	77	619	
75	223	261	275	
75	179	283	291	
67	291	297	243	
95	171	181	491	
93	259	139	483	
65	227	269	315	
75	195	281	259	
55	291	389	235	
107	139	249	291	
69	231	245	323	
71	251	277	259	
83	151	407	251	
79	155	255	419	
65	271	339	203	
97	211	147	491	
67	239	223	411	
93	255	397	147	
73	251	327	203	
81	179	209	499	
103	143	195	579	
95	267	167	339	
145	151	201	267	
103	135	203	491	
75	207	205	451	
141	147	139	395	
147	155	137	411	
71	215	261	307	
79	179	229	379	
97	163	217	355	
97	251	141	435	
123	291	101	515	
127	291	99	547	
93	271	203	299	
89	167	367	211	
113	179	233	211	
91	255	153	411	
147	267	243	147	
119	239	191	243	
73	179	373	251	
73	235	193	459	
145	183	149	299	
121	167	157	371	
103	275	153	363	
147	183	251	179	
129	191	163	275	
65	223	229	491	
111	103	257	507	
79	271	185	411	
105	199	155	411	
85	275	145	475	
103	131	245	347	
57	207	301	379	
141	175	245	187	
69	159	375	331	
135	215	173	243	
107	123	371	267	
129	79	467	539	
117	179	227	227	
87	295	205	307	
77	147	357	299	
77	143	361	331	
133	99	321	419	
79	191	261	299	
139	95	333	443	
93	155	213	403	
151	303	235	139	
97	227	285	187	
115	203	147	379	
117	87	435	459	
137	199	293	155	
67	223	235	411	
77	231	227	339	
107	227	511	131	
67	239	217	443	
101	135	265	299	
101	175	373	171	
105	227	199	275	
135	127	171	355	
67	159	281	475	
97	191	329	187	
105	231	177	323	
105	139	195	499	
113	131	197	483	
93	199	257	219	
69	251	173	515	
157	327	241	131	
107	215	187	283	
77	203	197	459	
93	211	253	219	
91	175	199	419	
95	127	229	443	
93	131	233	411	
79	171	245	395	
103	167	351	195	
119	87	397	547	
75	147	267	475	
79	131	271	507	
91	183	305	219	
131	299	225	171	
79	175	223	515	
137	243	295	131	
133	247	315	123	
85	167	261	291	
159	279	203	187	
93	199	255	227	
91	115	279	483	
93	195	241	259	
89	195	239	275	
101	143	203	507	
61	271	385	211	
117	139	257	251	
121	243	319	139	
113	183	143	587	
83	167	259	315	
71	127	317	475	
117	155	173	363	
89	167	243	307	
91	163	245	291	
69	187	267	355	
115	107	309	379	
107	111	315	379	
133	87	359	555	
159	151	131	427	
147	87	329	515	
145	87	333	547	
89	171	205	443	
73	243	185	475	
165	259	87	635	
95	267	169	331	
121	263	271	155	
69	251	329	211	
77	187	229	387	
109	175	195	307	
129	255	139	339	
107	167	205	307	
123	291	99	563	
169	231	97	619	
67	275	283	259	
121	139	265	243	
133	187	117	435	
77	243	303	227	
133	243	321	123	
133	215	287	163	
69	267	305	243	
121	199	209	227	
83	195	305	211	
123	251	473	99	
161	75	457	531	
89	223	151	483	
123	103	335	387	
125	171	223	227	
95	195	159	515	
99	99	445	451	
129	167	137	411	
133	263	403	107	
125	263	397	115	
137	171	159	283	
161	255	217	179	
145	83	359	507	
85	167	257	299	
69	275	177	499	
73	239	215	371	
155	155	133	379	
155	75	489	515	
71	179	415	251	
85	127	263	507	
141	87	327	571	
141	87	373	475	
171	267	87	627	
75	231	305	227	
75	191	251	315	
73	267	301	219	
87	143	305	291	
107	135	197	507	
59	179	289	435	
159	71	433	611	
145	299	233	147	
111	299	113	555	
65	131	367	515	
77	215	199	443	
75	199	383	203	
67	223	247	371	
133	167	143	363	
97	127	221	475	
77	227	229	355	
105	187	199	283	
85	163	317	243	
131	243	213	203	
101	163	235	299	
73	159	289	347	
73	163	293	339	
131	127	243	291	
107	107	265	523	
99	107	343	387	
67	271	299	251	
133	87	365	531	
97	123	237	427	
87	107	421	419	
117	199	211	227	
157	91	443	411	
59	219	297	363	
65	259	339	211	
101	155	395	195	
89	247	325	171	
147	263	415	99	
119	107	311	363	
91	175	243	299	
87	155	337	243	
129	171	141	379	
81	175	235	387	
75	167	279	347	
151	295	475	83	
97	179	301	211	
113	183	363	163	
95	267	135	459	
95	215	153	475	
67	175	323	315	
95	171	225	315	
119	191	213	235	
77	287	217	323	
85	195	227	323	
73	183	249	395	
131	211	181	235	
87	123	283	411	
85	123	289	379	
121	183	151	347	
117	191	149	371	
89	175	309	227	
113	203	367	147	
93	231	257	203	
117	119	211	419	
105	159	315	219	
73	179	395	243	
153	267	409	99	
113	155	177	387	
107	151	197	395	
105	155	183	435	
127	155	165	339	
77	187	209	539	
77	211	219	387	
65	135	351	491	
81	171	213	571	
127	231	279	155	
117	215	369	131	
95	107	297	499	
95	203	207	299	
141	171	135	411	
89	123	353	347	
151	75	525	523	
137	111	195	563	
65	131	359	547	
69	123	369	507	
99	127	345	283	
139	171	127	427	
73	211	235	363	
141	83	365	507	
117	179	225	235	
77	315	273	235	
117	135	261	259	
123	103	371	379	
87	195	273	235	
109	91	415	515	
83	199	309	203	
73	223	203	435	
129	103	371	363	
95	207	153	483	
133	87	357	571	
133	83	393	523	
121	91	463	403	
89	155	247	339	
109	147	277	243	
137	311	257	139	
97	243	271	187	
75	219	379	179	
69	191	319	275	
101	215	143	411	
89	219	165	427	
147	275	449	91	
143	155	161	283	
111	251	137	395	
105	131	221	395	
141	203	279	163	
121	191	189	251	
95	203	239	243	
99	175	207	339	
71	119	369	531	
87	131	293	355	
101	251	133	451	
101	139	211	419	
113	107	249	491	
71	247	337	211	
57	243	353	283	
147	227	133	307	
77	123	361	395	
139	251	143	299	
103	275	155	355	
117	239	109	555	
111	187	251	203	
125	179	139	403	
51	287	381	307	
157	291	197	187	
119	191	255	195	
57	279	445	227	
97	143	297	259	
91	127	273	379	
109	127	245	323	
127	247	165	275	
111	235	121	491	
85	183	313	219	
113	183	205	267	
99	175	377	179	
83	171	333	235	
73	167	437	267	
99	135	237	371	
145	155	131	427	
103	143	269	275	
97	183	237	275	
85	227	175	419	
105	251	159	331	
69	183	257	427	
81	179	277	283	
61	283	305	291	
79	147	249	539	
91	171	213	387	
95	175	379	179	
97	219	199	299	
135	251	415	107	
139	263	385	115	
143	171	153	283	
101	243	163	379	
107	167	191	323	
157	75	471	523	
59	183	293	427	
55	259	355	275	
89	215	209	291	
93	179	223	299	
115	231	263	171	
73	251	301	235	
87	223	157	451	
101	135	211	427	
93	123	227	459	
99	135	269	307	
101	127	219	427	
87	291	207	299	
73	167	289	323	
85	227	181	379	
105	159	179	499	
107	203	169	347	
87	143	243	387	
75	159	263	419	
59	283	379	211	
71	215	329	235	
73	175	415	259	
107	271	415	123	
109	147	235	299	
79	267	337	179	
101	207	313	179	
105	167	369	179	
87	191	305	211	
95	131	353	275	
123	155	155	379	
93	159	295	259	
111	207	183	299	
115	187	203	267	
191	279	71	763	
61	199	261	451	
115	219	179	267	
97	247	171	331	
189	299	71	763	
187	299	71	779	
103	227	129	499	
105	199	147	475	
107	215	185	291	
113	223	177	283	
85	167	297	267	
71	115	403	499	
123	199	351	147	
95	263	137	483	
83	163	219	475	
107	239	131	443	
153	215	143	283	
81	215	269	235	
73	207	337	211	
95	231	423	147	
131	199	131	379	
137	203	353	139	
153	75	413	571	
117	143	205	339	
111	151	199	355	
79	235	155	507	
139	219	131	339	
75	183	333	251	
89	219	257	211	
87	215	267	203	
79	183	233	371	
123	87	397	459	
73	191	273	315	
97	131	287	291	
103	135	285	267	
59	207	279	403	
73	211	197	499	
89	139	217	483	
99	111	247	451	
79	215	183	515	
77	155	341	283	
133	183	347	163	
127	179	365	163	
117	171	229	235	
159	151	129	475	
101	143	201	555	
69	139	321	435	
69	143	317	435	
79	187	263	299	
139	231	247	163	
97	155	387	203	
89	159	265	291	
103	175	161	475	
103	187	165	435	
83	183	217	411	
83	155	213	531	
63	247	277	323	
87	123	273	523	
105	171	367	179	
91	155	297	275	
73	151	391	291	
87	187	237	291	
67	275	327	219	
135	195	133	363	
125	215	317	147	
139	215	369	123	
137	203	377	131	
87	295	195	323	
69	287	185	475	
71	223	197	451	
81	187	203	435	
121	191	325	171	
127	151	165	347	
69	219	201	491	
85	187	275	235	
149	251	413	107	
105	183	261	219	
101	191	269	203	
51	243	385	379	
117	199	415	131	
93	187	177	443	
87	211	191	387	
99	171	255	243	
99	167	277	243	
105	171	269	235	
77	183	281	283	
125	135	265	251	
121	135	257	259	
123	183	209	243	
107	175	199	291	
83	195	193	483	
111	183	207	259	
121	163	155	411	
105	203	145	419	
109	187	153	403	
97	215	147	419	
115	247	483	107	
143	111	297	339	
111	91	403	459	
143	139	177	315	
139	127	173	339	
83	119	281	483	
59	251	405	243	
65	215	225	507	
103	155	183	483	
151	215	283	147	
69	199	231	499	
99	135	223	411	
135	255	249	147	
109	187	245	219	
101	199	175	379	
187	275	77	723	
75	243	223	355	
95	135	241	371	
141	307	217	171	
65	227	291	307	
